This is a guide for how best to varnish any material/weapon
combination.

Key

0 /* nothing */
1 /* Clown card, Sharp Claw item */
2 /* Cleric card, Giants Horn item */
3 /* Volcan card, Scissor item */
4 /* Poison Fang item */
5 /* Clear Feather item */
6 /* Dragon's Breath item */
7 /* Wicked Eye/Spade Basil/Rhinoloupe item */
8 /* Silly Eye/Gold Clover item */

      Hamr 2Axe Sper  Axe 2Swd Knif Flal Staf  Bow Glov Swrd
Menos 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Forse 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Granz 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Loran 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Wende 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Vizel 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
IsheP 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Lorim 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Alten 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
MaiaL 3336 3336 1111 3336 3336 1111 3336 3336 1111 3336 3336
Oriha 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
OakWo 3333 3333 1111 3333 3333 1111 3333 2222 1111 3333 3333
Holly 3333 3333 1111 3333 3333 1111 3333 2222 1111 3333 3333
Baoba 3333 3333 1111 3333 3333 1111 3333 2222 1111 3333 3333
Ebony 3333 3333 1111 3333 3333 1111 3333 2222 1111 3333 3333
Maple 3333 3333 1111 3333 3333 1111 3333 2222 1111 3333 3333
DiorW 3336 3336 1111 3336 1111 1111 2222 2222 1111 2222 1111
AshWo 3333 3333 1111 3333 3333 1111 3333 2222 1111 3333 3333
Fossi 3333 3333 1111 3333 3333 1111 3333 2222 1111 3333 3333
Marbl 3333 3333 1111 3333 3333 1111 3333 3333 1111 3333 3333
Obsid 3333 3333 1111 3333 3333 1111 3333 3333 1111 3333 3333
Pedan 3336 3336 1111 3336 3336 1111 3336 3336 1111 3336 3336
Gaeus 3338 1333 1111 1333 1111 1111 2336 2226 1111 2226 1111
Anima 1111 1111 1111 1111 1111 1111 0000 1111 1111 0000 1111
Gator 1111 1111 1111 1111 1111 1111 0000 1111 1111 0000 1111
Centa 1111 1111 1111 1111 1111 1111 0000 1111 1111 0000 1111
Drago 1111 1111 1111 1111 1111 1111 0000 1111 1111 0000 1111
FishS 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Lizar 2222 3333 1111 3333 2222 1111 2222 2222 1111 2222 2222
Snake 2222 3333 1111 3333 2222 1111 2222 2222 1111 2222 2222
Drago 2228 3333 1111 3333 3333 1111 2222 2228 1111 2222 3333
Anima 3333 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Ivory 3333 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Curse 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Fossi 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Toppl 1111 1111 1111 1111 1111 1111 0000 1111 1111 0000 1111
Sulta 1111 1111 1111 1111 1111 1111 0000 1111 1111 0000 1111
JuddH 1111 1111 1111 1111 1111 1111 0000 1111 1111 0000 1111
Alten 1111 1111 1111 1111 1111 1111 0000 1111 1111 0000 1111
Jacob 3333 3333 1111 3333 3333 1111 2222 2222 1111 2222 3333
Halle 3333 3333 1111 3333 3333 1111 2222 2222 1111 2222 3333
AnkhR 3333 3333 1111 3333 3333 1111 2222 2222 1111 2222 3333
Vinek 3333 3333 1111 3333 3333 1111 2222 2222 1111 2222 3333
Tuttl 3333 3333 1111 3333 3333 1111 2222 2222 1111 2222 3333
Nemes 3333 3333 1111 3333 3336 1111 2222 2222 1111 2222 3336
Biell 3336 3336 1111 3336 1111 1111 2222 2222 1111 2222 1111
Swift 2333 3337 1111 3337 1111 1111 2222 2222 1111 2222 1111
Adama 2222 1336 1117 3337 1116 1115 2222 2222 1115 2222 1116
FullM 2222 3336 1111 3336 1111 1111 2222 2222 1111 2222 1111
Coral 2222 3333 1111 2222 2222 1111 2222 2222 1111 2222 2222
Torto 2222 3333 1111 2222 2222 1111 2222 2222 1111 2222 2222
Shell 2222 3333 1111 2222 2222 1111 2222 2222 1111 2222 2222
Emera 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Pearl 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111
Lapis 2222 3333 1111 3333 1111 1111 2222 2222 1111 2222 1111


Attack value with 0 essence

      Hamr 2Axe Sper  Axe 2Swd Knif Flal Staf  Bow Glov Swrd
Menos   33   30   25   23   21   21   20   20   20   18   17
Forse   50   45   38   34   32   32   31   30   29   27   25
Granz   68   62   52   47   44   43   42   41   40   37   35
Loran   84   77   64   58   54   54   52   51   50   46   43
Wende  103   93   77   71   65   65   63   62   60   56   52
Vizel  120  109   91   83   77   76   74   73   71   65   61
IsheP  138  126  104   96   88   88   85   84   81   75   71
Lorim  154  140  117  107   99   98   95   94   91   84   79
Alten  173  157  130  119  110  110  106  105  102   94   88
MaiaL  131  139   93  104   92   75   57   34   72   49   74
Oriha   96   88   73   67   61   61   59   59   57   52   49
OakWo   38   39   24   29   26   19   16   12   18   14   21
Holly   57   59   35   44   39   29   25   18   27   21   31
Baoba   78   80   48   60   54   40   34   26   38   29   43
Ebony   97  100   60   75   67   49   42   32   47   36   53
Maple  136  139   85  105   93   70   59   45   66   51   75
DiorW  147  152  123  115  107  100   69   65   95   59   85
AshWo  117  120   73   90   80   60   51   39   57   44   64
Fossi  143  147   98  111  100   80   63   52   76   54   80
Marbl   53   56   34   41   36   28   23   14   27   20   29
Obsid  112  117   69   87   76   58   49   29   54   42   61
Pedan  134  141  104  106   95   86   60   37   82   52   76
Gaeus  137  152  139  113  123  116   63   43  110   63   99
Anima    3   15   20   11   15   17    0    1   15    0   12
Gator    6   28   37   20   28   31    0    3   28    0   23
Centa    8   41   53   28   41   45    0    4   41    0   33
Drago   11   55   71   38   55   60    0    5   55    0   44
FishS   26   21   20   16   16   17   16   16   15   14   13
Lizar   54   44   40   34   34   34   33   33   31   29   27
Snake   86   67   61   51   54   51   52   52   47   45   43
Drago  177  167  134  127  120  113  110  108  105   97   96
Anima   36   37   34   28   29   29   22   21   27   19   23
Ivory   74   75   70   57   59   59   45   44   55   40   47
Curse  113  114  108   86   90   91   70   69   84   63   72
Fossi  151  153  130  116  110  110   94   92  102   84   88
Toppl    6   28   37   20   28   31    0    3   28    0   23
Sulta    9   44   57   31   44   48    0    4   44    0   35
JuddH   12   60   77   42   60   65    0    6   59    0   48
Alten   15   76   99   53   76   84    0    7   76    0   61
Jacob   61   62   42   47   42   36   29   27   33   28   34
Halle   84   86   58   65   58   49   40   36   45   37   46
AnkhR  103  105   72   79   71   60   49   45   56   46   57
Vinek  127  129   87   97   87   73   60   55   68   56   70
Tuttl  144  146  102  110   99   86   71   65   80   66   79
Nemes  147  149  117  113  103   99   82   75   92   76   83
Biell  150  153  131  116  114  110   90   82  103   84   91
Swift  159  158  146  119  127  123  101   92  115   95  102
Adama  189  167  158  126  141  135  126  115  125  118  113
FullM  157  158  141  120  122  119  101   95  111   92   97
Coral   66   46   43   35   40   36   39   40   34   33   32
Torto   98   67   63   53   60   53   58   59   49   50   48
Shell   77   54   49   42   47   41   46   47   38   39   38
Emera    6    5    4    4    4    4    3    3    3    3    3
Pearl    6    5    4    4    4    4    3    3    3    3    3
Lapis    6    5    4    4    4    4    3    3    3    3    3


Attack value at max essences

      Hamr 2Axe Sper  Axe 2Swd Knif Flal Staf  Bow Glov Swrd
Menos  225  205  170  155  143  143  139  137  133  123  115
Forse  307  279  232  212  196  195  190  187  182  168  157
Granz  361  328  273  250  231  230  223  220  213  196  185
Loran  834  759  631  577  534  532  516  508  493  456  427
Wende  761  692  575  526  486  484  470  463  449  414  389
Vizel  895  815  677  620  574  571  553  545  529  488  459
IsheP 1023  931  773  708  654  652  631  623  604  556  523
Lorim 1151 1047  870  796  736  733  711  701  680  627  589
Alten 1154 1050  873  799  739  736  712  703  681  628  591
MaiaL  397  422  281  315  279  227  173  104  219  149  223
Oriha  952  866  719  658  608  606  588  580  562  518  486
OakWo  293  301  183  226  202  149  129   94  142  110  162
Holly  492  505  307  380  340  251  217  159  239  184  272
Baoba  425  436  264  328  292  216  187  141  206  159  234
Ebony  528  541  326  407  363  267  232  173  254  198  291
Maple 1337 1371  842 1033  921  689  589  443  656  501  737
DiorW 1715 1773 1428 1338 1243 1169  801  758 1113  688  994
AshWo 1249 1281  781  965  860  639  550  417  608  468  688
Fossi  835  858  574  647  581  470  370  306  447  315  465
Marbl  257  270  165  202  177  137  113   68  130   97  142
Obsid  479  500  297  375  329  248  210  126  234  181  263
Pedan  734  774  569  580  520  474  329  202  448  287  416
Gaeus  874  966  888  720  785  741  402  279  700  402  628
Anima   52  227  291  159  227  246   12   27  224   12  181
Gator   60  277  358  195  277  303    8   30  276    8  222
Centa   54  257  333  180  257  282    5   27  256    5  206
Drago   72  348  451  244  348  381    5   36  347    5  278
FishS  166  133  125  101  104  105  101  101   97   89   83
Lizar  340  277  253  211  215  214  207  207  197  181  172
Snake  543  423  385  323  340  324  330  331  300  287  272
Drago 1535 1445 1163 1103 1037  980  951  934  908  842  829
Anima  222  228  212  173  177  178  134  130  165  120  141
Ivory  471  482  450  365  377  380  290  282  351  258  301
Curse  716  719  682  545  570  575  446  436  531  396  456
Fossi  955  964  824  731  694  695  595  581  644  529  555
Toppl   72  333  430  234  333  364   10   36  331   10  266
Sulta  109  518  670  363  518  567   10   55  516   10  414
JuddH  145  696  901  487  696  763   10   73  694   10  556
Alten  183  888 1151  622  888  974   10   92  886   10  710
Jacob  509  517  352  390  350  298  246  225  278  232  280
Halle  700  711  480  537  482  405  333  304  378  312  385
AnkhR  857  871  594  658  590  502  412  376  468  387  472
Vinek 1048 1065  722  804  721  609  498  454  568  467  577
Tuttl 1193 1212  841  915  822  710  587  538  662  550  657
Nemes 1215 1236  969  934  855  818  676  619  763  633  684
Biell 1239 1264 1083  958  943  914  745  680  852  699  754
Swift 1317 1305 1210  987 1054 1022  836  764  953  784  843
Adama 1152 1021  969  774  861  829  772  706  767  722  689
FullM  958  968  862  734  745  726  618  580  677  565  596
Coral  653  459  431  353  399  362  387  395  335  330  319
Torto  618  424  396  333  376  333  366  374  308  313  301
Shell  667  465  420  360  407  353  395  403  327  337  325
Emera   86   79   65   60   55   55   54   52   51   48   44
Pearl   86   79   65   60   55   55   54   52   51   48   44
Lapis   86   79   65   60   55   55   54   52   51   48   44


Multiple ways to get the same value

      Hamr 2Axe Sper  Axe 2Swd Knif Flal Staf  Bow Glov Swrd
Menos    1    1    1    1    3b   1    1    1    1    1    3b
Forse    1    1    1    1    3b   1    1    1    1    1    3b
Granz    1    1    1    1    3b   1    1    1    1    1    3b
Loran    1    1    1    1    3b   1    1    1    1    1    3b
Wende    1    1    1    1    3b   1    1    1    1    1    3b
Vizel    1    1    1    1    3b   1    1    1    1    1    3b
IsheP    1    1    1    1    3b   1    1    1    1    1    3b
Lorim    1    1    1    1    3b   1    1    1    1    1    3b
Alten    1    1    1    1    3b   1    1    1    1    1    3b
MaiaL    1    1    1    1    1    1    1    1    1    1    1
Oriha    1    1    1    1    3b   1    1    1    1    1    3b
OakWo    1    1    1    1    1    1    1    1    1    1    1
Holly    1    1    1    1    1    1    1    1    1    1    1
Baoba    1    1    1    1    1    1    1    1    1    1    1
Ebony    1    1    1    1    1    1    1    1    1    1    1
Maple    1    1    1    1    1    1    1    1    1    1    1
DiorW    1    1    1    1    1    1    1    1    1    1    1
AshWo    1    1    1    1    1    1    1    1    1    1    1
Fossi    1    1    1    1    1    1    1    1    1    1    1
Marbl    1    1    1    1    1    1    1    1    1    1    1
Obsid    1    1    1    1    1    1    1    1    1    1    1
Pedan    1    1    1    1    1    1    1    1    1    1    1
Gaeus    1    4a   1    4a   1    1    3a   1    1    1    1
Anima    1    1    1    1    1    1   40b   1    1   40b   1
Gator    1    1    1    1    1    1   40b   1    1   40b   1
Centa    1    1    1    1    1    1   40b   1    1   40b   1
Drago    1    1    1    1    1    1   40b   1    1   40b   1
FishS    1    1    1    1    2b   1    1    1    1    1    2b
Lizar    1    1    1    1    1    1    1    1    1    1    1
Snake    1    1    1    1    1    1    1    1    1    1    1
Drago    1    1    1    1    1    1    2c   1    1    2c   1
